name,confidence,xmin,ymin,xmax,ymax
apple,0.593478918,655.1359253,846.8022461,794.0830688,986.8093262
apple,0.44801414,323.6792603,675.1324463,388.0855103,795.5488281
apple,0.401158333,274.8013611,636.3405151,382.2115784,774.0346069
apple,0.360422552,994.9389038,666.4991455,1142.079956,800.4344482
apple,0.317703217,385.6383362,756.3066406,458.4951477,928.0189209
apple,0.593478918,655.1359253,846.8022461,794.0830688,986.8093262
apple,0.44801414,323.6792603,675.1324463,388.0855103,795.5488281
apple,0.401158333,274.8013611,636.3405151,382.2115784,774.0346069
apple,0.360422552,994.9389038,666.4991455,1142.079956,800.4344482
apple,0.317703217,385.6383362,756.3066406,458.4951477,928.0189209
apple,0.593478918,655.1359253,846.8022461,794.0830688,986.8093262
apple,0.44801414,323.6792603,675.1324463,388.0855103,795.5488281
apple,0.401158333,274.8013611,636.3405151,382.2115784,774.0346069
apple,0.360422552,994.9389038,666.4991455,1142.079956,800.4344482
apple,0.317703217,385.6383362,756.3066406,458.4951477,928.0189209
apple,0.593478918,655.1359253,846.8022461,794.0830688,986.8093262
apple,0.44801414,323.6792603,675.1324463,388.0855103,795.5488281
apple,0.401158333,274.8013611,636.3405151,382.2115784,774.0346069
apple,0.360422552,994.9389038,666.4991455,1142.079956,800.4344482
apple,0.317703217,385.6383362,756.3066406,458.4951477,928.0189209
apple,0.740422249,164.3734589,222.5827332,217.8313141,268.7714233
apple,0.593478918,655.1359253,846.8022461,794.0830688,986.8093262
apple,0.44801414,323.6792603,675.1324463,388.0855103,795.5488281
apple,0.401158333,274.8013611,636.3405151,382.2115784,774.0346069
apple,0.360422552,994.9389038,666.4991455,1142.079956,800.4344482
apple,0.317703217,385.6383362,756.3066406,458.4951477,928.0189209
banana,0.810187399,18.34539032,1023.145569,111.5396652,1197.217773
banana,0.810187399,18.34539032,1023.145569,111.5396652,1197.217773
banana,0.433915436,754.2634277,668.3413086,955.1420898,1114.052734
banana,0.810187399,18.34539032,1023.145569,111.5396652,1197.217773
banana,0.29153657,369.6246948,971.4456177,480.0517578,1161.541992
banana,0.321508408,833.8380737,428.3164978,923.3379517,526.9418945
banana,0.29153657,369.6246948,971.4456177,480.0517578,1161.541992
banana,0.321508408,833.8380737,428.3164978,923.3379517,526.9418945
banana,0.321508408,833.8380737,428.3164978,923.3379517,526.9418945
banana,0.321508408,833.8380737,428.3164978,923.3379517,526.9418945
banana,0.321508408,833.8380737,428.3164978,923.3379517,526.9418945
banana,0.394988179,411.2414856,714.8622437,610.6665039,812.7927856
banana,0.290594667,592.5950928,791.9216309,635.6781616,824.5483398
banana,0.394988179,411.2414856,714.8622437,610.6665039,812.7927856
banana,0.290594667,592.5950928,791.9216309,635.6781616,824.5483398
banana,0.321508408,833.8380737,428.3164978,923.3379517,526.9418945
banana,0.394988179,411.2414856,714.8622437,610.6665039,812.7927856
banana,0.290594667,592.5950928,791.9216309,635.6781616,824.5483398
banana,0.321508408,833.8380737,428.3164978,923.3379517,526.9418945
banana,0.394988179,411.2414856,714.8622437,610.6665039,812.7927856
banana,0.290594667,592.5950928,791.9216309,635.6781616,824.5483398
banana,0.394988179,411.2414856,714.8622437,610.6665039,812.7927856
banana,0.290594667,592.5950928,791.9216309,635.6781616,824.5483398
book,0.575717032,254.1814728,912.3261719,782.5294189,1020.054077
book,0.482332647,365.5000305,378.5483704,844.7156372,1174.012329
book,0.575717032,254.1814728,912.3261719,782.5294189,1020.054077
book,0.482332647,365.5000305,378.5483704,844.7156372,1174.012329
book,0.575717032,254.1814728,912.3261719,782.5294189,1020.054077
book,0.575717032,254.1814728,912.3261719,782.5294189,1020.054077
book,0.575717032,254.1814728,912.3261719,782.5294189,1020.054077
book,0.575717032,254.1814728,912.3261719,782.5294189,1020.054077
book,0.575717032,254.1814728,912.3261719,782.5294189,1020.054077
book,0.482332647,365.5000305,378.5483704,844.7156372,1174.012329
book,0.575717032,254.1814728,912.3261719,782.5294189,1020.054077
book,0.575717032,254.1814728,912.3261719,782.5294189,1020.054077
book,0.686838806,677.3569946,193.6552124,901.2484741,1236.047607
book,0.422487378,352.2948914,137.5494385,700.4165039,1256.707031
book,0.500795364,277.9167175,87.62646484,654.7813721,1195.686401
book,0.336661011,633.1341553,187.4378357,962.8743896,1184.869019
book,0.257414281,48.6083107,34.47952652,786.6495972,982.758667
book,0.575717032,254.1814728,912.3261719,782.5294189,1020.054077
book,0.575717032,254.1814728,912.3261719,782.5294189,1020.054077
book,0.482332647,365.5000305,378.5483704,844.7156372,1174.012329
book,0.575717032,254.1814728,912.3261719,782.5294189,1020.054077
book,0.575717032,254.1814728,912.3261719,782.5294189,1020.054077
book,0.500795364,277.9167175,87.62646484,654.7813721,1195.686401
book,0.336661011,633.1341553,187.4378357,962.8743896,1184.869019
book,0.257414281,48.6083107,34.47952652,786.6495972,982.758667
book,0.575717032,254.1814728,912.3261719,782.5294189,1020.054077
bottle,0.332960725,320.581604,224.7954407,637.5280151,1200.781372
bottle,0.442316711,627.0699463,268.4395752,945.9523926,1198.739502
bottle,0.552929997,538.359375,306.5406799,790.3650513,858.1943359
bottle,0.3028346,345.2132568,27.17107582,849.6273193,1115.98938
bottle,0.3028346,345.2132568,27.17107582,849.6273193,1115.98938
bottle,0.3028346,345.2132568,27.17107582,849.6273193,1115.98938
bottle,0.434454918,160.3010101,0,351.0075073,496.1281433
bottle,0.3028346,345.2132568,27.17107582,849.6273193,1115.98938
bottle,0.428630322,456.905365,198.558548,682.0927124,743.7035522
bottle,0.335329711,178.5396271,239.6474152,373.3936462,718.3513184
bottle,0.501195967,657.1534424,313.0819702,952.0588379,1231.496094
bottle,0.355326921,446.1914063,312.0218506,628.322998,1193.137085
bottle,0.265085548,133.3917999,241.6546631,556.5010986,1177.076904
bottle,0.3028346,345.2132568,27.17107582,849.6273193,1115.98938
bottle,0.332960725,320.581604,224.7954407,637.5280151,1200.781372
bottle,0.442316711,627.0699463,268.4395752,945.9523926,1198.739502
bottle,0.552929997,538.359375,306.5406799,790.3650513,858.1943359
bottle,0.25112617,668.3720703,35.92297363,1169.408447,1266.350098
bottle,0.3028346,345.2132568,27.17107582,849.6273193,1115.98938
bottle,0.434454918,160.3010101,0,351.0075073,496.1281433
bottle,0.3028346,345.2132568,27.17107582,849.6273193,1115.98938
bottle,0.434454918,160.3010101,0,351.0075073,496.1281433
bottle,0.25112617,668.3720703,35.92297363,1169.408447,1266.350098
bottle,0.428630322,456.905365,198.558548,682.0927124,743.7035522
bottle,0.335329711,178.5396271,239.6474152,373.3936462,718.3513184
bottle,0.501195967,657.1534424,313.0819702,952.0588379,1231.496094
bottle,0.355326921,446.1914063,312.0218506,628.322998,1193.137085
bottle,0.265085548,133.3917999,241.6546631,556.5010986,1177.076904
bottle,0.332960725,320.581604,224.7954407,637.5280151,1200.781372
bottle,0.442316711,627.0699463,268.4395752,945.9523926,1198.739502
bottle,0.552929997,538.359375,306.5406799,790.3650513,858.1943359
bottle,0.25112617,668.3720703,35.92297363,1169.408447,1266.350098
bottle,0.3028346,345.2132568,27.17107582,849.6273193,1115.98938
bottle,0.3028346,345.2132568,27.17107582,849.6273193,1115.98938
bottle,0.410453767,143.2461548,27.1251297,406.1999512,782.4179077
bottle,0.428630322,456.905365,198.558548,682.0927124,743.7035522
bottle,0.335329711,178.5396271,239.6474152,373.3936462,718.3513184
bottle,0.388069272,109.2909851,11.31863499,302.6216736,600
bottle,0.840289712,237.1968079,147.6005859,374.9671326,557.0776367
bottle,0.501195967,657.1534424,313.0819702,952.0588379,1231.496094
bottle,0.355326921,446.1914063,312.0218506,628.322998,1193.137085
bottle,0.253530264,200.0368042,168.7416382,291.1987,370.8277588
bottle,0.703980327,103.4815903,86.27658844,219.1255798,282.1932983
bottle,0.642986774,236.6076508,132.2687988,274.6091003,263.3865051
bottle,0.582703531,208.6923218,117.7387924,249.5692139,273.3894043
bottle,0.52017045,262.9370117,143.5296631,302.1853027,257.1151123
bottle,0.345347792,42.37898254,33.47619629,413.8602295,781.5522461
bottle,0.25112617,668.3720703,35.92297363,1169.408447,1266.350098
bottle,0.434454918,160.3010101,0,351.0075073,496.1281433
bottle,0.421528101,565.4318237,156.8905029,929.4454956,1261.609131
bottle,0.3028346,345.2132568,27.17107582,849.6273193,1115.98938
bottle,0.25112617,668.3720703,35.92297363,1169.408447,1266.350098
bottle,0.703980327,103.4815903,86.27658844,219.1255798,282.1932983
bottle,0.642986774,236.6076508,132.2687988,274.6091003,263.3865051
bottle,0.582703531,208.6923218,117.7387924,249.5692139,273.3894043
bottle,0.52017045,262.9370117,143.5296631,302.1853027,257.1151123
bottle,0.332960725,320.581604,224.7954407,637.5280151,1200.781372
bottle,0.442316711,627.0699463,268.4395752,945.9523926,1198.739502
bottle,0.552929997,538.359375,306.5406799,790.3650513,858.1943359
bottle,0.25112617,668.3720703,35.92297363,1169.408447,1266.350098
bottle,0.703980327,103.4815903,86.27658844,219.1255798,282.1932983
bottle,0.642986774,236.6076508,132.2687988,274.6091003,263.3865051
bottle,0.582703531,208.6923218,117.7387924,249.5692139,273.3894043
bottle,0.52017045,262.9370117,143.5296631,302.1853027,257.1151123
bottle,0.332960725,320.581604,224.7954407,637.5280151,1200.781372
bottle,0.442316711,627.0699463,268.4395752,945.9523926,1198.739502
bottle,0.552929997,538.359375,306.5406799,790.3650513,858.1943359
bottle,0.434454918,160.3010101,0,351.0075073,496.1281433
bottle,0.421528101,565.4318237,156.8905029,929.4454956,1261.609131
bottle,0.3028346,345.2132568,27.17107582,849.6273193,1115.98938
bottle,0.703980327,103.4815903,86.27658844,219.1255798,282.1932983
bottle,0.642986774,236.6076508,132.2687988,274.6091003,263.3865051
bottle,0.582703531,208.6923218,117.7387924,249.5692139,273.3894043
bottle,0.52017045,262.9370117,143.5296631,302.1853027,257.1151123
bottle,0.332960725,320.581604,224.7954407,637.5280151,1200.781372
bottle,0.442316711,627.0699463,268.4395752,945.9523926,1198.739502
bottle,0.552929997,538.359375,306.5406799,790.3650513,858.1943359
bottle,0.3028346,345.2132568,27.17107582,849.6273193,1115.98938
bottle,0.428630322,456.905365,198.558548,682.0927124,743.7035522
bottle,0.335329711,178.5396271,239.6474152,373.3936462,718.3513184
bottle,0.501195967,657.1534424,313.0819702,952.0588379,1231.496094
bottle,0.355326921,446.1914063,312.0218506,628.322998,1193.137085
bottle,0.3028346,345.2132568,27.17107582,849.6273193,1115.98938
bottle,0.3028346,345.2132568,27.17107582,849.6273193,1115.98938
bottle,0.332960725,320.581604,224.7954407,637.5280151,1200.781372
bottle,0.442316711,627.0699463,268.4395752,945.9523926,1198.739502
bottle,0.552929997,538.359375,306.5406799,790.3650513,858.1943359
bottle,0.434454918,160.3010101,0,351.0075073,496.1281433
bottle,0.421528101,565.4318237,156.8905029,929.4454956,1261.609131
bottle,0.3028346,345.2132568,27.17107582,849.6273193,1115.98938
bottle,0.3028346,345.2132568,27.17107582,849.6273193,1115.98938
bottle,0.3028346,345.2132568,27.17107582,849.6273193,1115.98938
bottle,0.410453767,143.2461548,27.1251297,406.1999512,782.4179077
bottle,0.428630322,456.905365,198.558548,682.0927124,743.7035522
bottle,0.335329711,178.5396271,239.6474152,373.3936462,718.3513184
bottle,0.501195967,657.1534424,313.0819702,952.0588379,1231.496094
bottle,0.355326921,446.1914063,312.0218506,628.322998,1193.137085
bottle,0.691131711,437.2218323,150.1593628,629.9091187,767.8522949
bottle,0.804045916,648.3727417,458.7698669,882.5861206,1030.527466
bottle,0.549834669,464.5031738,464.3956909,652.9655762,979.2041626
bottle,0.428630322,456.905365,198.558548,682.0927124,743.7035522
bottle,0.335329711,178.5396271,239.6474152,373.3936462,718.3513184
bottle,0.703980327,103.4815903,86.27658844,219.1255798,282.1932983
bottle,0.642986774,236.6076508,132.2687988,274.6091003,263.3865051
bottle,0.582703531,208.6923218,117.7387924,249.5692139,273.3894043
bottle,0.52017045,262.9370117,143.5296631,302.1853027,257.1151123
bottle,0.332960725,320.581604,224.7954407,637.5280151,1200.781372
bottle,0.442316711,627.0699463,268.4395752,945.9523926,1198.739502
bottle,0.552929997,538.359375,306.5406799,790.3650513,858.1943359
bottle,0.3028346,345.2132568,27.17107582,849.6273193,1115.98938
bottle,0.3028346,345.2132568,27.17107582,849.6273193,1115.98938
bottle,0.434454918,160.3010101,0,351.0075073,496.1281433
bottle,0.421528101,565.4318237,156.8905029,929.4454956,1261.609131
bottle,0.421528101,565.4318237,156.8905029,929.4454956,1261.609131
bottle,0.3028346,345.2132568,27.17107582,849.6273193,1115.98938
bottle,0.410453767,143.2461548,27.1251297,406.1999512,782.4179077
bottle,0.3028346,345.2132568,27.17107582,849.6273193,1115.98938
bottle,0.703980327,103.4815903,86.27658844,219.1255798,282.1932983
bottle,0.642986774,236.6076508,132.2687988,274.6091003,263.3865051
bottle,0.582703531,208.6923218,117.7387924,249.5692139,273.3894043
bottle,0.52017045,262.9370117,143.5296631,302.1853027,257.1151123
bottle,0.434454918,160.3010101,0,351.0075073,496.1281433
bottle,0.421528101,565.4318237,156.8905029,929.4454956,1261.609131
bottle,0.332960725,320.581604,224.7954407,637.5280151,1200.781372
bottle,0.442316711,627.0699463,268.4395752,945.9523926,1198.739502
bottle,0.552929997,538.359375,306.5406799,790.3650513,858.1943359
bottle,0.703980327,103.4815903,86.27658844,219.1255798,282.1932983
bottle,0.642986774,236.6076508,132.2687988,274.6091003,263.3865051
bottle,0.582703531,208.6923218,117.7387924,249.5692139,273.3894043
bottle,0.52017045,262.9370117,143.5296631,302.1853027,257.1151123
bottle,0.434454918,160.3010101,0,351.0075073,496.1281433
bottle,0.421528101,565.4318237,156.8905029,929.4454956,1261.609131
bottle,0.3028346,345.2132568,27.17107582,849.6273193,1115.98938
bottle,0.332960725,320.581604,224.7954407,637.5280151,1200.781372
bottle,0.442316711,627.0699463,268.4395752,945.9523926,1198.739502
bottle,0.552929997,538.359375,306.5406799,790.3650513,858.1943359
bottle,0.703980327,103.4815903,86.27658844,219.1255798,282.1932983
bottle,0.642986774,236.6076508,132.2687988,274.6091003,263.3865051
bottle,0.582703531,208.6923218,117.7387924,249.5692139,273.3894043
bottle,0.52017045,262.9370117,143.5296631,302.1853027,257.1151123
bottle,0.501195967,657.1534424,313.0819702,952.0588379,1231.496094
bottle,0.355326921,446.1914063,312.0218506,628.322998,1193.137085
bottle,0.421528101,565.4318237,156.8905029,929.4454956,1261.609131
bottle,0.410453767,143.2461548,27.1251297,406.1999512,782.4179077
bottle,0.703980327,103.4815903,86.27658844,219.1255798,282.1932983
bottle,0.642986774,236.6076508,132.2687988,274.6091003,263.3865051
bottle,0.582703531,208.6923218,117.7387924,249.5692139,273.3894043
bottle,0.52017045,262.9370117,143.5296631,302.1853027,257.1151123
bottle,0.434454918,160.3010101,0,351.0075073,496.1281433
bottle,0.292580128,349.4625854,84.0151825,677.1919556,931.6661377
bottle,0.332960725,320.581604,224.7954407,637.5280151,1200.781372
bottle,0.442316711,627.0699463,268.4395752,945.9523926,1198.739502
bottle,0.552929997,538.359375,306.5406799,790.3650513,858.1943359
bottle,0.703980327,103.4815903,86.27658844,219.1255798,282.1932983
bottle,0.642986774,236.6076508,132.2687988,274.6091003,263.3865051
bottle,0.582703531,208.6923218,117.7387924,249.5692139,273.3894043
bottle,0.52017045,262.9370117,143.5296631,302.1853027,257.1151123
bottle,0.434454918,160.3010101,0,351.0075073,496.1281433
bottle,0.292580128,349.4625854,84.0151825,677.1919556,931.6661377
bottle,0.428630322,456.905365,198.558548,682.0927124,743.7035522
bottle,0.335329711,178.5396271,239.6474152,373.3936462,718.3513184
bottle,0.3028346,345.2132568,27.17107582,849.6273193,1115.98938
bottle,0.332960725,320.581604,224.7954407,637.5280151,1200.781372
bottle,0.442316711,627.0699463,268.4395752,945.9523926,1198.739502
bottle,0.3028346,345.2132568,27.17107582,849.6273193,1115.98938
bottle,0.434454918,160.3010101,0,351.0075073,496.1281433
bottle,0.703980327,103.4815903,86.27658844,219.1255798,282.1932983
bottle,0.642986774,236.6076508,132.2687988,274.6091003,263.3865051
bottle,0.582703531,208.6923218,117.7387924,249.5692139,273.3894043
bottle,0.52017045,262.9370117,143.5296631,302.1853027,257.1151123
bottle,0.332960725,320.581604,224.7954407,637.5280151,1200.781372
bottle,0.442316711,627.0699463,268.4395752,945.9523926,1198.739502
bottle,0.501195967,657.1534424,313.0819702,952.0588379,1231.496094
bottle,0.355326921,446.1914063,312.0218506,628.322998,1193.137085
bottle,0.428630322,456.905365,198.558548,682.0927124,743.7035522
bottle,0.335329711,178.5396271,239.6474152,373.3936462,718.3513184
bottle,0.292580128,349.4625854,84.0151825,677.1919556,931.6661377
bowl,0.394037098,554.8015137,1093.960693,708.7999268,1203.80542
bowl,0.267323732,701.958374,1096.478882,872.8864746,1209.652222
bowl,0.438768655,481.0660095,1098.838623,766.0102539,1212.199463
bowl,0.394037098,554.8015137,1093.960693,708.7999268,1203.80542
bowl,0.267323732,701.958374,1096.478882,872.8864746,1209.652222
bowl,0.438768655,481.0660095,1098.838623,766.0102539,1212.199463
bowl,0.394037098,554.8015137,1093.960693,708.7999268,1203.80542
bowl,0.267323732,701.958374,1096.478882,872.8864746,1209.652222
bowl,0.438768655,481.0660095,1098.838623,766.0102539,1212.199463
bowl,0.758213699,140.742157,185.9703064,275.1917725,299.8476868
bowl,0.394037098,554.8015137,1093.960693,708.7999268,1203.80542
bowl,0.267323732,701.958374,1096.478882,872.8864746,1209.652222
bowl,0.438768655,481.0660095,1098.838623,766.0102539,1212.199463
bowl,0.758213699,140.742157,185.9703064,275.1917725,299.8476868
bowl,0.394037098,554.8015137,1093.960693,708.7999268,1203.80542
bowl,0.267323732,701.958374,1096.478882,872.8864746,1209.652222
bowl,0.438768655,481.0660095,1098.838623,766.0102539,1212.199463
bowl,0.758213699,140.742157,185.9703064,275.1917725,299.8476868
bowl,0.394037098,554.8015137,1093.960693,708.7999268,1203.80542
bowl,0.267323732,701.958374,1096.478882,872.8864746,1209.652222
bowl,0.438768655,481.0660095,1098.838623,766.0102539,1212.199463
bowl,0.758213699,140.742157,185.9703064,275.1917725,299.8476868
bowl,0.758213699,140.742157,185.9703064,275.1917725,299.8476868
